"id";"developer";"name";"platform";"publisher";"release_date";"score"
1;"Mediatonic, Hato Moa";"Hatoful Boyfriend: Holiday Star";"ps4";"Devolver Digital";"2015-12-22";""
2;"Zachtronics Industries";"Infinifactory";"ps4";"Zachtronics Industries";"2015-12-22";""
3;"SCEJ";"Fantavision";"ps4";"SCEA";"2015-12-22";""
4;"Frozenbyte, Inc.";"Trine 3: The Artifacts of Power";"ps4";"Frozenbyte, Inc.";"2015-12-22";""
5;"Alawar Entertainment, Inc";"The Treasures of Montezuma 4";"ps4";"Buka Entertainment";"2015-12-22";""
6;"";"Batman: Arkham Knight - Season of Infamy: Most Wanted";"ps4";"";"2015-12-22";"tbd"
7;"";"Minecraft: Story Mode - Episode 4: A Block and a Hard Place";"ps4";"";"2015-12-22";"tbd"
8;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 5";"ps4";"";"2015-12-22";"tbd"
9;"The Odd Gentlemen";"King's Quest Chapter 2: Rubble Without a Cause";"ps4";"Sierra Games";"2015-12-15";"67"
10;"NanaOn-Sha";"PaRappa the Rapper 2";"ps4";"SCEA";"2015-12-15";""
11;"Targem Games";"BlazeRush";"ps4";"Targem Games";"2015-12-15";""
12;"Ubisoft Quebec";"Assassin's Creed Syndicate: Jack the Ripper";"ps4";"Ubisoft";"2015-12-15";"73"
13;"";"Guns, Gore & Cannoli";"ps4";"";"2015-12-08";"tbd"
14;"Sandlot";"Earth Defense Force 4.1: The Shadow of New Despair";"ps4";"Xseed Games";"2015-12-08";"60"
15;"Krillbite Studio";"Among the Sleep";"ps4";"Krillbite Studio";"2015-12-08";"61"
16;"Digital Leisure Inc.";"The Four Kings Casino and Slots";"ps4";"Digital Leisure Inc.";"2015-12-08";""
17;"ZeroBit Games";"Zotrix";"ps4";"Ocean Media LLC";"2015-12-08";""
18;"Vlambeer";"Nuclear Throne";"ps4";"Vlambeer";"2015-12-05";"81"
19;"Valkyrie Entertainment";"GUNS UP!";"ps4";"SCEA";"2015-12-05";"60"
20;"SCE Santa Monica, Fun Bits";"Fat Princess Adventures";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        SCE Santa Monica";"2015-12-05";"67"
21;"Square Enix";"Final Fantasy VII";"ps4";"Square Enix";"2015-12-05";""
22;"Level 5";"Dark Cloud";"ps4";"SCEA";"2015-12-05";""
23;"DMA Design, Rockstar North";"Grand Theft Auto III";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        Rockstar Games";"2015-12-05";""
24;"Rockstar North";"Grand Theft Auto: Vice City";"ps4";"SCEA";"2015-12-05";""
25;"Rockstar North";"Grand Theft Auto: San Andreas";"ps4";"SCEA
                                                            
                                                    

                                                            
                                                        Rockstar Games";"2015-12-05";""
26;"Level 5";"Rogue Galaxy";"ps4";"SCEA";"2015-12-05";""
27;"SCEA";"The Mark of Kri";"ps4";"SCEA";"2015-12-05";""
28;"Incognito Inc.";"Twisted Metal: Black";"ps4";"SCEA";"2015-12-05";""
29;"Incognito Inc.";"War of the Monsters";"ps4";"SCEA";"2015-12-05";""
30;"Choice Provisions";"THE BIT.TRIP";"ps4";"Choice Provisions";"2015-12-05";"86"
31;"Wargaming.net";"World of Tanks";"ps4";"Wargaming.net";"2015-12-04";""
32;"Farsight Technologies, Crave, Alliance Digital Media";"Brunswick Pro Bowling";"ps4";"Farsight Technologies
                                                            
                                                    

                                                            
                                                        C";"2015-12-04";""
33;"Ronimo Games";"Awesomenauts Assemble!: Starstorm";"ps4";"Ronimo Games";"2015-12-03";""
34;"Ronimo Games";"Awesomenauts Assemble! Digital Collector's Edition";"ps4";"Ronimo Games";"2015-12-03";""
35;"Pyramid";"Dariusburst: Chronicle Saviours";"ps4";"Degica";"2015-12-02";"80"
36;"Nadeo";"Trackmania Turbo";"ps4";"Ubisoft";"2015-12-01";""
37;"Ubisoft Montreal";"Tom Clancy's Rainbow Six Siege";"ps4";"Ubisoft";"2015-12-01";"74"
38;"Avalanche Studios";"Just Cause 3";"ps4";"Square Enix";"2015-12-01";"74"
39;"Vicious Cycle";"Kung Fu Panda: Showdown of Legendary Legends";"ps4";"Little Orbit";"2015-12-01";""
40;"";"World Poker Championship";"ps4";"Play It!";"2015-12-01";""
41;"Torn Banner Studios, Hardsuit Labs";"Chivalry: Medieval Warfare";"ps4";"Activision";"2015-12-01";"60"
42;"Hamster";"Arcade Archives: The Legend of Kage";"ps4";"Hamster";"2015-12-01";""
43;"";"Just Cause 3: Air, Land, & Sea Expansion Pass";"ps4";"";"2015-12-01";"tbd"
44;"Avalanche Studios";"Just Cause 3: XL Edition";"ps4";"Square Enix";"2015-12-01";""
45;"EKO Software";"Handball 16";"ps4";"Bigben Interactive";"2015-11-30";""
46;"Abstraction Games";"Awesomenauts Assemble!";"ps4";"Ronimo Games
                                                            
                                                    

                                                            
                                                        Play It!";"2015-11-27";"74"
47;"From Software";"Bloodborne: The Old Hunters";"ps4";"SCEA";"2015-11-24";"87"
48;"Quantic Dream";"Beyond: Two Souls";"ps4";"SCEA";"2015-11-24";"72"
49;"";"Minecraft: Story Mode - Episode 3: The Last Place You Look";"ps4";"";"2015-11-24";"73"
50;"From Software";"Bloodborne: Complete Edition";"ps4";"SCEA";"2015-11-24";""
51;"EnsenaSoft";"Miko Mole";"ps4";"EnsenaSoft";"2015-11-24";""
52;"";"Batman: Arkham Knight - Catwoman's Revenge";"ps4";"";"2015-11-24";"tbd"
53;"Slightly Mad Studios";"Project CARS: Classic Lotus Expansion";"ps4";"Bandai Namco Games";"2015-11-24";""
54;"Rocksteady Studios";"Batman: Arkham Knight - A Flip of a Coin";"ps4";"Warner Bros. Interactive Entertainment";"2015-11-24";""
55;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 4";"ps4";"";"2015-11-24";"tbd"
56;"";"Batman: Arkham Knight - WayneTech Track Pack";"ps4";"";"2015-11-24";"tbd"
57;"";"The Elder Scrolls Online: Tamriel Unlimited - Orsinium";"ps4";"";"2015-11-18";"72"
58;"EA DICE";"Star Wars Battlefront";"ps4";"Electronic Arts";"2015-11-17";"72"
59;"Telltale Games";"Game of Thrones: A Telltale Games Series";"ps4";"Telltale Games";"2015-11-17";"66"
60;"Telltale Games";"Game of Thrones: Episode Six - The Ice Dragon";"ps4";"Telltale Games";"2015-11-17";"74"
61;"Bandai Namco Games, Artdink";"Sword Art Online: Lost Song";"ps4";"Bandai Namco Games";"2015-11-17";"65"
62;"Ivory Tower";"The Crew: Wild Run";"ps4";"Ubisoft";"2015-11-17";"72"
63;"Voxler";"Let's Sing 2016";"ps4";"Deep Silver
                                                            
                                                    

                                                            
                                                        Maximum Gam";"2015-11-17";""
64;"High Moon Studios";"Deadpool";"ps4";"Activision";"2015-11-17";"59"
65;"Ivory Tower";"The Crew: Wild Run Edition";"ps4";"Ubisoft";"2015-11-17";""
66;"Kylotonn, Milestone S.r.l";"WRC 5";"ps4";"Bigben Interactive";"2015-11-17";"64"
67;"Hamster";"Arcade Archives: Shanghai III";"ps4";"Hamster";"2015-11-17";""
68;"Xiness";"Dreamals";"ps4";"Xiness";"2015-11-17";""
69;"Sculptured Software, Code Mystics Inc.";"Super Star Wars";"ps4";"Disney Interactive Studios";"2015-11-17";""
70;"";"Assassin's Creed Syndicate - Victorian Legends Pack";"ps4";"";"2015-11-17";"tbd"
71;"Ininity Plus 2, Infinity Plus 2";"Gems of War";"ps4";"505 Games";"2015-11-13";""
72;"Bethesda Game Studios";"Fallout 4";"ps4";"Bethesda Softworks";"2015-11-10";"87"
73;"Ground Shatter Ltd.";"SkyScrappers";"ps4";"Ground Shatter Ltd.";"2015-11-10";""
74;"Kraken Empire";"Kromaia Omega";"ps4";"Rising Star Games";"2015-11-10";"72"
75;"Tozai Games";"Spelunker World";"ps4";"Square Enix";"2015-11-10";""
76;"Arc System Works";"Arcade Archives: Super Dodge Ball";"ps4";"Hamster";"2015-11-10";""
77;"Kukouri Mobile Entertainment";"Tiny Troopers: Joint Ops";"ps4";"Wired Productions
                                                            
                                                    

                                                            
                                                        Play";"2015-11-06";"65"
78;"Treyarch";"Call of Duty: Black Ops III";"ps4";"Activision";"2015-11-06";"81"
79;"Jackbox Games, Inc.";"The Jackbox Party Pack";"ps4";"Telltale Games";"2015-11-03";""
80;"Ghost Games";"Need for Speed";"ps4";"Electronic Arts";"2015-11-03";"66"
81;"Activision, Behaviour Interactive";"The Peanuts Movie: Snoopy's Grand Adventure";"ps4";"Activision";"2015-11-03";""
82;"Games Farm";"Air Conflicts: Pacific Carriers";"ps4";"Kalypso
                                                            
                                                    

                                                            
                                                        Games Farm";"2015-11-03";""
83;"Deck 13";"Lords of the Fallen: Complete Edition";"ps4";"City Interactive";"2015-11-03";""
84;"Turtle Rock Studios";"Evolve: Ultimate Edition";"ps4";"2K Games";"2015-11-03";""
85;"Hamster";"Arcade Archives: Ikki";"ps4";"Hamster";"2015-11-03";""
86;"Delve Interactive";"PONCHO";"ps4";"Rising Star Games";"2015-11-03";"66"
87;"Lab Zero Games";"Indivisible";"ps4";"505 Games";"2015-11-03";""
88;"Grimm Bros.";"Dragon Fin Soup";"ps4";"Grimm Bros.";"2015-11-03";""
89;"";"Assassin's Creed Syndicate - Steampunk Pack";"ps4";"";"2015-11-03";"tbd"
90;"Gunfire Games";"Darksiders II: Deathinitive Edition";"ps4";"Nordic Games Publishing";"2015-10-30";"73"
91;"Rainbow Studios";"MX vs. ATV Supercross Encore";"ps4";"CokeM Interactive
                                                            
                                                    

                                                            
                                                        Nordi";"2015-10-30";"42"
92;"Slightly Mad Studios";"Project CARS: Japanese Car Pack";"ps4";"Bandai Namco Games";"2015-10-29";""
93;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 3";"ps4";"";"2015-10-28";"tbd"
94;"Telltale Games";"Minecraft: Story Mode - A Telltale Games Series";"ps4";"Telltale Games";"2015-10-27";""
95;"Yuke's";"WWE 2K16";"ps4";"2K Sports";"2015-10-27";"73"
96;"Larian Studios";"Divinity: Original Sin Enhanced Edition";"ps4";"Focus Home Interactive
                                                            
                                                    

                                                            
";"2015-10-27";"88"
97;"Hamster";"Arcade Archives: Ninja-Kid II";"ps4";"Hamster";"2015-10-27";""
98;"Big Pixel Studios";"Mega Coin Squad";"ps4";"Big Pixel Studios";"2015-10-27";""
99;"Arc System Works";"River City Super Sports Challenge: All Stars Special";"ps4";"Arc System Works";"2015-10-27";""
100;"";"Minecraft: Story Mode - Episode 2: Assembly Required";"ps4";"";"2015-10-27";"53"
101;"Evolution Studios";"Driveclub Bikes";"ps4";"SCEE
                                                            
                                                    

                                                            
                                                        SCEA";"2015-10-27";"79"
102;"Ubisoft Quebec";"Assassin's Creed Syndicate";"ps4";"Ubisoft";"2015-10-23";"76"
103;"Ravenscourt";"Now That's What I Call Sing";"ps4";"Ravenscourt";"2015-10-23";""
104;"Ubisoft Quebec";"Assassin's Creed Syndicate: The Dreadful Crimes";"ps4";"Ubisoft";"2015-10-23";""
105;"Lukewarm Media, Circle 5, Circle 5 Studios";"Primal Carnage: Extinction";"ps4";"Panic Button
                                                            
                                                    

                                                            
                                                        Lukewarm M";"2015-10-20";"49"
106;"";"Life is Strange: Episode 5 - Polarized";"ps4";"";"2015-10-20";"81"
107;"Telltale Games";"Tales from the Borderlands: A Telltale Game Series";"ps4";"Telltale Games";"2015-10-20";"89"
108;"FreeStyleGames";"Guitar Hero Live";"ps4";"Activision";"2015-10-20";"80"
109;"Vicious Cycle";"Adventure Time: Finn and Jake Investigations";"ps4";"Little Orbit";"2015-10-20";""
110;"Codemasters";"Overlord: Fellowship of Evil";"ps4";"Codemasters";"2015-10-20";"33"
111;"Bandai Namco Games";"Tales of Zestiria";"ps4";"Bandai Namco Games";"2015-10-20";"72"
112;"Ubisoft";"Just Dance 2016";"ps4";"Ubisoft";"2015-10-20";"73"
113;"Ubisoft";"Hasbro Family Fun Pack";"ps4";"Ubisoft";"2015-10-20";""
114;"Telltale Games";"Tales From The Borderlands: Episode 5 - The Vault of the Traveler";"ps4";"Telltale Games";"2015-10-20";"90"
115;"The Men Who Wear Many Hats LLC";"Organ Trail: Complete Edition";"ps4";"The Men Who Wear Many Hats LLC";"2015-10-20";""
116;"Hamster";"Arcade Archives: Cosmo Police Galivan";"ps4";"Hamster";"2015-10-20";""
117;"BetaDwarf";"Forced: Slightly Better Edition";"ps4";"BetaDwarf";"2015-10-20";"58"
118;"Bolt Creative";"Pocket God vs Desert Ashes";"ps4";"Bolt Creative
                                                            
                                                    

                                                            
                                                        Nine Tale";"2015-10-20";""
119;"Zen Studios";"ZEN Pinball 2: Balls of Glory";"ps4";"Zen Studios";"2015-10-20";"79"
120;"WayForward";"Marvel Puzzle Quest: Dark Reign";"ps4";"D3Publisher";"2015-10-16";""
121;"Hamster";"Arcade Archives: Crazy Climber 2";"ps4";"Hamster";"2015-10-15";""
122;"Croteam";"The Talos Principle";"ps4";"Devolver Digital
                                                            
                                                    

                                                            
                                                        Nighth";"2015-10-13";"88"
123;"Omega Force";"Dragon Quest Heroes: The World Tree's Woe and the Blight Below";"ps4";"Square Enix";"2015-10-13";"77"
124;"InXile Entertainment";"Wasteland 2: Director's Cut";"ps4";"Deep Silver";"2015-10-13";"80"
125;"";"The Witcher 3: Wild Hunt - Hearts of Stone";"ps4";"";"2015-10-13";"90"
126;"Standfast Interactive";"Bedlam";"ps4";"RedBedlam";"2015-10-13";"53"
127;"Gaming Minds Studios";"Grand Ages: Medieval";"ps4";"Kalypso";"2015-10-13";"71"
128;"Telltale Games";"Back to the Future: The Game";"ps4";"Telltale Games";"2015-10-13";""
129;"Jackbox Games, Inc.";"The Jackbox Party Pack 2";"ps4";"Jackbox Games, Inc.";"2015-10-13";"71"
130;"";"Minecraft: Story Mode - Episode 1: The Order of the Stone";"ps4";"";"2015-10-13";"71"
131;"WayForward";"Goosebumps: The Game";"ps4";"GameMill Entertainment";"2015-10-13";""
132;"[bracket]games";"Three Fourths Home: Extended Edition";"ps4";"Digerati Distribution";"2015-10-13";""
133;"Singapore University of Technology and Design";"One Upon Light";"ps4";"Singapore University of Technology and Design";"2015-10-13";"59"
134;"";"Assassin's Creed Syndicate - Runaway Train";"ps4";"";"2015-10-13";"tbd"
135;"Bluepoint Games";"Uncharted: The Nathan Drake Collection";"ps4";"SCEA";"2015-10-09";"86"
136;"Cyberstep";"Onigiri";"ps4";"Cyberstep";"2015-10-06";""
137;"Nippon Ichi Software";"Disgaea 5: Alliance of Vengeance";"ps4";"NIS America";"2015-10-06";"81"
138;"Milestone S.r.l";"RIDE";"ps4";"Bandai Namco Games";"2015-10-06";"66"
139;"Harmonix Music Systems";"Rock Band 4";"ps4";"Harmonix Music Systems
                                                            
                                                    

                                                            
";"2015-10-06";"78"
140;"Dimps Corporation";"Saint Seiya: Soldiers' Soul";"ps4";"Bandai Namco Games";"2015-10-06";"59"
141;"Team Meat";"Super Meat Boy";"ps4";"Team Meat";"2015-10-06";"85"
142;"PlatinumGames";"Transformers: Devastation";"ps4";"Activision";"2015-10-06";"77"
143;"";"Dragon Age: Inquisition - Game of the Year Edition";"ps4";"";"2015-10-06";"tbd"
144;"Kojima Productions";"Metal Gear Solid V: Metal Gear Online";"ps4";"Konami";"2015-10-06";"68"
145;"SCE Australia";"Journey Collector's Edition";"ps4";"SCEA";"2015-10-02";""
146;"Brushfire Games";"Polychromatic";"ps4";"Brushfire Games";"2015-10-02";""
147;"HandyGames";"Dynamite Fishing World Games";"ps4";"HandyGames";"2015-09-30";""
148;"Arc System Works";"Arcade Archives: Shusse Ozumo";"ps4";"Arc System Works
                                                            
                                                    

                                                            
                                                        Hamste";"2015-09-30";""
149;"Trendy Entertainment";"Dungeon Defenders II";"ps4";"Trendy Entertainment";"2015-09-29";""
150;"Robomodo";"Tony Hawk's Pro Skater 5";"ps4";"Activision";"2015-09-29";"32"
151;"EA Sports";"NBA Live 16";"ps4";"EA Sports";"2015-09-29";"59"
152;"";"Samurai Warriors 4-II";"ps4";"";"2015-09-29";"73"
153;"Active Gaming Media Inc.";"Prismatic Solid";"ps4";"Playism";"2015-09-29";""
154;"Juicy Beast Studio";"Toto Temple Deluxe";"ps4";"Juicy Beast Studio";"2015-09-29";""
155;"Glass Knuckle Games";"Thief Town";"ps4";"Glass Knuckle Games";"2015-09-29";""
156;"Hamster";"Arcade Archives: Karate Champ";"ps4";"Hamster";"2015-09-29";""
157;"";"Batman: Arkham Knight - GCPD Lockdown";"ps4";"";"2015-09-29";"tbd"
158;"Slightly Mad Studios";"Project CARS: Aston Martin Track Expansion";"ps4";"Bandai Namco Games";"2015-09-29";""
159;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 2";"ps4";"";"2015-09-29";"tbd"
160;"";"LEGO Dimensions";"ps4";"Warner Bros. Interactive Entertainment";"2015-09-27";"80"
161;"Visual Concepts";"NBA 2K16";"ps4";"Take-Two Interactive
                                                            
                                                    

                                                            
                                                        2K";"2015-09-25";"86"
162;"Big Ant Studios";"Rugby League Live 3";"ps4";"HES Interactive";"2015-09-24";""
163;"Golden Ruby Games";"Extreme Exorcism";"ps4";"Ripstone";"2015-09-23";"74"
164;"Frictional Games";"SOMA";"ps4";"Frictional Games";"2015-09-22";"79"
165;"Cyanide";"Blood Bowl 2";"ps4";"Focus Home Interactive";"2015-09-22";"72"
166;"Versus Evil";"Afro Samurai 2: Revenge of Kuma Volume One";"ps4";"Versus Evil";"2015-09-22";"21"
167;"EA Sports";"FIFA 16";"ps4";"EA Sports";"2015-09-22";"82"
168;"KING Art";"The Book of Unwritten Tales 2";"ps4";"Nordic Games Publishing";"2015-09-22";"63"
169;"Self Made Miracle";"Penarium";"ps4";"Team 17";"2015-09-22";"71"
170;"Hamster";"Arcade Archives: Mr. Goemon";"ps4";"Hamster";"2015-09-22";""
171;"Happy Dance Games";"Battle Trivia Knockout";"ps4";"Happy Dance Games";"2015-09-22";"51"
172;"Choice Provisions";"Laserlife";"ps4";"Choice Provisions";"2015-09-22";"65"
173;"Yeah Us!";"Pumped BMX +";"ps4";"Curve Digital";"2015-09-22";""
174;"Depth First Games";"Rally Copters";"ps4";"Depth First Games";"2015-09-22";""
175;"Vicarious Visions";"Skylanders SuperChargers";"ps4";"Activision";"2015-09-20";"81"
176;"Yacht Club Games";"Shovel Knight: Plague of Shadows";"ps4";"Yacht Club Games";"2015-09-17";""
177;"ZeniMax Media";"The Elder Scrolls Online: Tamriel Unlimited - The Imperial City";"ps4";"Bethesda Softworks";"2015-09-16";""
178;"EA Sports, EA Canada";"NHL 16";"ps4";"Electronic Arts
                                                            
                                                    

                                                            
                                                        EA Spor";"2015-09-15";"78"
179;"Rain Games";"Teslagrad";"ps4";"Rain Games
                                                            
                                                    

                                                            
                                                        Soedesco";"2015-09-15";"78"
180;"Laughing Jackal";"Flame Over";"ps4";"Laughing Jackal";"2015-09-15";""
181;"StormBASIC Games";"Invokers Tournament";"ps4";"StormBASIC Games";"2015-09-15";""
182;"Bungie";"Destiny: The Taken King";"ps4";"Activision";"2015-09-15";"86"
183;"Konami";"Pro Evolution Soccer 2016";"ps4";"Konami";"2015-09-15";"87"
184;"";"Destiny: The Taken King - Legendary Edition";"ps4";"";"2015-09-15";"tbd"
185;"Sanuk Games";"Bombing Busters";"ps4";"Sanuk Games";"2015-09-15";""
186;"SuperVillain Studios";"Frozen Free Fall: Snowball Fight";"ps4";"Disney Interactive Studios";"2015-09-15";""
187;"Dlala Studios";"Overruled!";"ps4";"Team 17";"2015-09-15";""
188;"Nine Tales Digital";"Kitten Squad";"ps4";"Nine Tales Digital";"2015-09-15";""
189;"Koei Tecmo Games";"Arcade Archives: Solomon's Key";"ps4";"Koei Tecmo Games
                                                            
                                                    

                                                            
                                                        Hamste";"2015-09-15";""
190;"Ice-Pick Lodge";"Knock-knock";"ps4";"Ice-Pick Lodge";"2015-09-10";"51"
191;"";"Dragon Age: Inquisition - Trespasser";"ps4";"";"2015-09-09";"tbd"
192;"Media Molecule";"Tearaway Unfolded";"ps4";"SCEA";"2015-09-08";"81"
193;"Hapa Games";"Ascendant";"ps4";"Hapa Games";"2015-09-08";""
194;"IN|FRAMEZ TECHNOLOGY CORP.";"Hyper Void";"ps4";"IN|FRAMEZ TECHNOLOGY CORP.";"2015-09-08";"70"
195;"tiger & squid";"Beyond Eyes";"ps4";"Team 17";"2015-09-08";"52"
196;"Revolution Software";"Broken Sword 5: The Serpent's Curse";"ps4";"Deep Silver";"2015-09-08";"72"
197;"1337 & Senri LLC";"Leo's Fortune";"ps4";"Tilting Point";"2015-09-08";"66"
198;"Hamster";"Arcade Archives: A-jax";"ps4";"Hamster";"2015-09-08";""
199;"HB Studios Multimedia";"Rugby World Cup 2015";"ps4";"Bigben Interactive";"2015-09-04";"25"
200;"Avalanche Studios";"Mad Max";"ps4";"Warner Bros. Interactive Entertainment";"2015-09-01";"69"
201;"Kojima Productions, Moby Dick Studio";"Metal Gear Solid V: The Phantom Pain";"ps4";"Konami";"2015-09-01";"93"
202;"Capy Games";"Super Time Force Ultra";"ps4";"Capy Games";"2015-09-01";"82"
203;"Zoink!";"Zombie Vikings";"ps4";"Zoink!";"2015-09-01";"63"
204;"Koei Tecmo Games";"Nobunaga's Ambition: Sphere of Influence";"ps4";"Koei Tecmo Games";"2015-09-01";"80"
205;"Starbreeze";"Brothers: A Tale of Two Sons";"ps4";"505 Games";"2015-09-01";"81"
206;"Ubisoft Reflections";"Grow Home";"ps4";"Ubisoft";"2015-09-01";"74"
207;"Renegade Kid";"Xeodrifter";"ps4";"Renegade Kid
                                                            
                                                    

                                                            
                                                        Gambitious";"2015-09-01";"77"
208;"League of Geeks";"Armello";"ps4";"League of Geeks";"2015-09-01";"72"
209;"Heavy Iron Studios";"Fat City";"ps4";"Heavy Iron Studios";"2015-09-01";""
210;"";"Batman: Arkham Knight - Crime Fighter Challenge Pack 1";"ps4";"";"2015-09-01";"tbd"
211;"Avalanche Software";"Disney Infinity 3.0 Edition";"ps4";"Disney Interactive Studios";"2015-08-30";"80"
212;"Funktronic Labs";"NOVA-111";"ps4";"Curve Studios";"2015-08-25";"73"
213;"Digital Eclipse";"Mega Man Legacy Collection";"ps4";"Capcom";"2015-08-25";"77"
214;"SuperMassive Games";"Until Dawn";"ps4";"SCEA";"2015-08-25";"79"
215;"Omega Force";"One Piece: Pirate Warriors 3";"ps4";"Bandai Namco Games";"2015-08-25";"74"
216;"klobit";"Capsule Force";"ps4";"Iron Galaxy Studios";"2015-08-25";""
217;"EA Sports";"Madden NFL 16";"ps4";"EA Sports";"2015-08-25";"83"
218;"Bedtime Digital Games, LOOT Interactive";"Back to Bed";"ps4";"LOOT Entertainment";"2015-08-25";"62"
219;"Just Add Water, Bossa Studios";"I Am Bread";"ps4";"Bossa Studios";"2015-08-25";"51"
220;"Arkane Studios";"Dishonored: Definitive Edition";"ps4";"Bethesda Softworks";"2015-08-25";"80"
221;"Calvino Noir Ltd.";"Calvino Noir";"ps4";"Calvino Noir Ltd.";"2015-08-25";"44"
222;"Neon Deity Games";"Shutshimi";"ps4";"Choice Provisions";"2015-08-25";""
223;"Terry Cavanagh";"VVVVVV";"ps4";"Nicalis";"2015-08-25";""
224;"Strange Games Studios";"Tina's Toy Factory";"ps4";"Strange Games Studios";"2015-08-25";""
225;"Slightly Mad Studios";"Project CARS: Old VS New Car Pack";"ps4";"Bandai Namco Games";"2015-08-25";""
226;"";"Risen 3: Titan Lords - Enhanced Edition";"ps4";"";"2015-08-21";"51"
227;"Ertem Yazilim";"MasterCube";"ps4";"Ertem Yazilim";"2015-08-21";""
228;"Black Forest Games";"Giana Sisters: Dream Runners";"ps4";"EuroVideo Medien";"2015-08-19";"37"
229;"Mike Bithell";"Volume";"ps4";"Mike Bithell";"2015-08-18";"71"
230;"Ubisoft Montpellier";"Zombi";"ps4";"Ubisoft";"2015-08-18";"71"
231;"Tribute Games Inc.";"Curses 'N Chaos";"ps4";"Tribute Games Inc.";"2015-08-18";"70"
232;"";"Tales From The Borderlands: Episode 4 - Escape Plan Bravo";"ps4";"";"2015-08-18";"78"
233;"TicToc Games";"Adventures of Pip";"ps4";"TicToc Games";"2015-08-18";"74"
234;"Ty Taylor and Mario Castaneda";"The Bridge";"ps4";"The Quantum Astrophysicists Guild";"2015-08-18";""
235;"VooFoo Studios";"Pure Hold 'Em";"ps4";"VooFoo Studios";"2015-08-18";"73"
236;"Koei Tecmo Games";"Arcade Archives: Bomb Jack";"ps4";"Koei Tecmo Games
                                                            
                                                    

                                                            
                                                        Hamste";"2015-08-18";""
237;"The Chinese Room";"Everybody's Gone to the Rapture";"ps4";"SCEA";"2015-08-11";"78"
238;"Krome Studios";"Toy Soldiers: War Chest";"ps4";"Ubisoft";"2015-08-11";"62"
239;"Arrowhead Game Studios";"Gauntlet: Slayer Edition";"ps4";"Warner Bros. Interactive Entertainment";"2015-08-11";"71"
240;"Radical Entertainment";"Prototype";"ps4";"Activision";"2015-08-11";""
241;"Radical Entertainment";"Prototype 2";"ps4";"Activision";"2015-08-11";""
242;"Coffee Stain Studios";"Goat Simulator";"ps4";"Coffee Stain Studios";"2015-08-11";"58"
243;"Grande Games";"Commander Cherry's Puzzled Journey";"ps4";"Grande Games";"2015-08-11";"53"
244;"Hello There";"Kung Fury: Street Rage";"ps4";"Hello There";"2015-08-11";""
245;"FullPowerSideAttack.com";"TorqueL";"ps4";"FullPowerSideAttack.com";"2015-08-11";""
246;"BioWare";"Dragon Age: Inquisition - The Descent";"ps4";"BioWare";"2015-08-11";"63"
247;"17-Bit";"Galak-Z: The Dimensional";"ps4";"17-Bit";"2015-08-04";"82"
248;"Neptune Interactive Inc.";"The Castle Game";"ps4";"Neptune Interactive Inc.";"2015-08-04";"68"
249;"Kiz Studios";"Trans-Galactic Tournament";"ps4";"Kiz Studios";"2015-08-04";""
250;"Uppercut Games";"Submerged";"ps4";"Uppercut Games";"2015-08-04";"56"
251;"Corecell Technology";"AeternoBlade";"ps4";"Corecell Technology";"2015-08-04";""
252;"Frima Studio";"Boggle";"ps4";"Ubisoft";"2015-08-04";""
253;"";"Batman: Arkham Knight - Harley Quinn Story Pack";"ps4";"";"2015-08-04";"tbd"
254;"";"Batman: Arkham Knight - Red Hood Story Pack";"ps4";"";"2015-08-04";"tbd"
255;"Konami";"Yu-Gi-Oh! Legacy of the Duelist";"ps4";"Konami";"2015-07-31";"75"
256;"Metanet Software Inc.";"N++";"ps4";"Metanet Software Inc.";"2015-07-28";"82"
257;"";"Life is Strange: Episode 4 - Dark Room";"ps4";"";"2015-07-28";"81"
258;"Neon Studios";"Legend of Kay Anniversary";"ps4";"Nordic Games Publishing";"2015-07-28";"62"
259;"Shawn Beck";"Velocibox";"ps4";"LOOT Entertainment";"2015-07-28";"62"
260;"Namco Bandai Games, Bandai Namco Games";"Sword Art Online Re: Hollow Fragment";"ps4";"Namco Bandai Games
                                                            
                                                    

                                                            
                                                        Band";"2015-07-28";"65"
261;"Size Five Games";"The Swindle";"ps4";"Curve Digital";"2015-07-28";"73"
262;"ACE Team";"Abyss Odyssey: Extended Dream Edition";"ps4";"Atlus";"2015-07-28";"64"
263;"Upper One Games";"Never Alone: Fox Tales";"ps4";"E-Line Media";"2015-07-28";""
264;"The Odd Gentlemen";"King's Quest Chapter 1: A Knight to Remember";"ps4";"Sierra Games";"2015-07-28";"77"
265;"5pb";"Phantom Breaker: Battle Grounds Overdrive";"ps4";"5pb";"2015-07-23";"71"
266;"Tricky Pixels";"Journey";"ps4";"SCEA";"2015-07-21";"92"
267;"Hato Moa";"Hatoful Boyfriend";"ps4";"Devolver Digital";"2015-07-21";"72"
268;"Rebellion";"Zombie Army Trilogy";"ps4";"U&I Entertainment";"2015-07-21";"62"
